t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.6774,12.0000
0.0390,200.0000,196.0702,12.0000
0.0400,200.0000,199.4003,12.0000
0.0410,200.0000,202.3215,10.9346
0.0420,200.0000,204.0616,8.1947
0.0430,200.0000,204.7498,7.0045
0.0440,200.0000,205.0122,6.7949
0.0450,200.0000,205.1457,6.6952
0.0460,200.0000,205.2035,6.5746
0.0470,200.0000,205.2057,6.5027
0.0480,200.0000,205.1795,6.4761
0.0490,200.0000,205.1416,6.4648
0.0500,200.0000,205.0983,6.4572
0.0510,200.0000,205.0520,6.4522
0.0520,200.0000,205.0041,6.4495
0.0530,200.0000,204.9561,6.4480
0.0540,200.0000,204.9080,6.4466
0.0550,200.0000,204.8600,6.4456
0.0560,200.0000,204.8127,6.4450
0.0570,200.0000,204.7654,6.4438
0.0580,200.0000,204.7188,6.4435
0.0590,200.0000,204.6725,6.4425
0.0600,200.0000,204.6267,6.4420
0.0610,200.0000,204.5814,6.4412
0.0620,200.0000,204.5364,6.4405
0.0630,200.0000,204.4921,6.4400
0.0640,200.0000,204.4479,6.4390
0.0650,200.0000,204.4044,6.4387
0.0660,200.0000,204.3611,6.4378
0.0670,200.0000,204.3184,6.4374
0.0680,200.0000,204.2760,6.4366
0.0690,200.0000,204.2341,6.4360
0.0700,200.0000,204.1926,6.4354
0.0710,200.0000,204.1514,6.4347
0.0720,200.0000,204.1108,6.4343
0.0730,200.0000,204.0704,6.4334
0.0740,200.0000,204.0306,6.4331
0.0750,200.0000,203.9910,6.4322
0.0760,200.0000,203.9520,6.4319
0.0770,200.0000,203.9131,6.4310
0.0780,200.0000,203.8748,6.4308
0.0790,200.0000,203.8367,6.4299
0.0800,200.0000,203.7993,6.4297
0.0810,200.0000,203.7619,6.4288
0.0820,200.0000,203.7251,6.4285
0.0830,200.0000,203.6885,6.4277
0.0840,200.0000,203.6524,6.4274
0.0850,200.0000,203.6165,6.4267
0.0860,200.0000,203.5811,6.4263
0.0870,200.0000,203.5460,6.4257
0.0880,200.0000,203.5112,6.4251
0.0890,200.0000,203.4768,6.4247
0.0900,200.0000,203.4426,6.4241
0.0910,200.0000,203.4090,6.4238
0.0920,200.0000,203.3754,6.4230
0.0930,200.0000,203.3425,6.4228
0.0940,200.0000,203.3096,6.4220
0.0950,200.0000,203.2771,6.4217
0.0960,200.0000,203.2451,6.4213
0.0970,200.0000,203.2131,6.4206
0.0980,200.0000,203.1818,6.4205
0.0990,200.0000,203.1505,6.4196
0.1000,200.0000,203.1196,6.4194
0.1010,200.0000,203.0891,6.4189
0.1020,200.0000,203.0586,6.4183
0.1030,200.0000,203.0289,6.4182
0.1040,200.0000,202.9991,6.4173
0.1050,200.0000,202.9696,6.4171
0.1060,200.0000,202.9406,6.4167
0.1070,200.0000,202.9116,6.4161
0.1080,200.0000,202.8832,6.4159
0.1090,200.0000,202.8550,6.4152
0.1100,200.0000,202.8268,6.4148
0.1110,200.0000,202.7993,6.4148
0.1120,200.0000,202.7718,6.4139
0.1130,200.0000,202.7445,6.4136
0.1140,200.0000,202.7178,6.4135
0.1150,200.0000,202.6911,6.4127
0.1160,200.0000,202.6645,6.4125
0.1170,200.0000,202.6386,6.4123
0.1180,200.0000,202.6127,6.4115
0.1190,200.0000,202.5869,6.4113
0.1200,200.0000,202.5618,6.4111
0.1210,200.0000,202.5366,6.4104
0.1220,200.0000,202.5116,6.4102
0.1230,200.0000,202.4871,6.4100
0.1240,200.0000,202.4627,6.4092
0.1250,200.0000,202.4383,6.4090
0.1260,200.0000,202.4147,6.4090
0.1270,200.0000,202.3910,6.4082
0.1280,200.0000,202.3674,6.4079
0.1290,200.0000,202.3443,6.4079
0.1300,200.0000,202.3214,6.4072
0.1310,200.0000,202.2986,6.4068
0.1320,200.0000,202.2759,6.4067
0.1330,200.0000,202.2538,6.4064
0.1340,200.0000,202.2317,6.4058
0.1350,200.0000,202.2095,6.4056
0.1360,200.0000,202.1881,6.4056
0.1370,200.0000,202.1667,6.4048
0.1380,200.0000,202.1454,6.4045
0.1390,200.0000,202.1242,6.4044
0.1400,200.0000,202.1036,6.4042
0.1410,200.0000,202.0830,6.4035
0.1420,200.0000,202.0624,6.4033
0.1430,200.0000,202.0422,6.4032
0.1440,200.0000,202.0224,6.4028
0.1450,200.0000,202.0025,6.4023
0.1460,200.0000,201.9827,6.4021
0.1470,200.0000,201.9633,6.4021
0.1480,200.0000,201.9442,6.4016
0.1490,200.0000,201.9251,6.4011
0.1500,200.0000,201.9061,6.4009
0.1510,200.0000,201.8874,6.4009
0.1520,200.0000,201.8691,6.4005
0.1530,200.0000,201.8508,6.4000
0.1540,200.0000,201.8325,6.3998
0.1550,200.0000,201.8144,6.3998
0.1560,200.0000,201.7968,6.3996
0.1570,200.0000,201.7793,6.3989
0.1580,200.0000,201.7617,6.3987
0.1590,200.0000,201.7442,6.3986
0.1600,200.0000,201.7273,6.3987
0.1610,200.0000,201.7105,6.3979
0.1620,200.0000,201.6937,6.3976
0.1630,200.0000,201.6770,6.3974
0.1640,200.0000,201.6604,6.3974
0.1650,200.0000,201.6443,6.3973
0.1660,200.0000,201.6283,6.3966
