t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.6774,12.0000
0.0390,200.0000,196.0702,12.0000
0.0400,200.0000,199.2202,11.4477
0.0410,200.0000,201.1641,8.2992
0.0420,200.0000,201.7311,6.3530
0.0430,200.0000,201.5813,5.7826
0.0440,200.0000,201.2880,5.9292
0.0450,200.0000,201.1015,6.2199
0.0460,200.0000,201.0431,6.4042
0.0470,200.0000,201.0531,6.4605
0.0480,200.0000,201.0778,6.4484
0.0490,200.0000,201.0931,6.4215
0.0500,200.0000,201.0966,6.4040
0.0510,200.0000,201.0935,6.3984
0.0520,200.0000,201.0889,6.3993
0.0530,200.0000,201.0851,6.4017
0.0540,200.0000,201.0825,6.4033
0.0550,200.0000,201.0803,6.4037
0.0560,200.0000,201.0787,6.4039
0.0570,200.0000,201.0767,6.4032
0.0580,200.0000,201.0744,6.4031
0.0590,200.0000,201.0721,6.4033
0.0600,200.0000,201.0703,6.4034
0.0610,200.0000,201.0681,6.4031
0.0620,200.0000,201.0658,6.4031
0.0630,200.0000,201.0641,6.4033
0.0640,200.0000,201.0620,6.4028
0.0650,200.0000,201.0597,6.4029
0.0660,200.0000,201.0578,6.4030
0.0670,200.0000,201.0558,6.4028
0.0680,200.0000,201.0535,6.4027
0.0690,200.0000,201.0518,6.4029
0.0700,200.0000,201.0498,6.4024
0.0710,200.0000,201.0475,6.4024
0.0720,200.0000,201.0455,6.4026
0.0730,200.0000,201.0440,6.4025
0.0740,200.0000,201.0417,6.4019
0.0750,200.0000,201.0395,6.4021
0.0760,200.0000,201.0372,6.4023
0.0770,200.0000,201.0356,6.4025
0.0780,200.0000,201.0337,6.4020
0.0790,200.0000,201.0314,6.4019
0.0800,200.0000,201.0294,6.4021
0.0810,200.0000,201.0278,6.4021
0.0820,200.0000,201.0256,6.4015
0.0830,200.0000,201.0233,6.4017
0.0840,200.0000,201.0215,6.4019
0.0850,200.0000,201.0200,6.4017
0.0860,200.0000,201.0177,6.4012
0.0870,200.0000,201.0154,6.4014
0.0880,200.0000,201.0136,6.4017
0.0890,200.0000,201.0121,6.4015
0.0900,200.0000,201.0098,6.4010
0.0910,200.0000,201.0076,6.4012
0.0920,200.0000,201.0058,6.4015
0.0930,200.0000,201.0043,6.4012
0.0940,200.0000,201.0020,6.4007
0.0950,200.0000,200.9997,6.4010
0.0960,200.0000,200.9980,6.4013
0.0970,200.0000,200.9965,6.4010
0.0980,200.0000,200.9943,6.4005
0.0990,200.0000,200.9920,6.4008
0.1000,200.0000,200.9903,6.4011
0.1010,200.0000,200.9888,6.4007
0.1020,200.0000,200.9866,6.4003
0.1030,200.0000,200.9843,6.4005
0.1040,200.0000,200.9827,6.4009
0.1050,200.0000,200.9812,6.4005
0.1060,200.0000,200.9789,6.4001
0.1070,200.0000,200.9767,6.4003
0.1080,200.0000,200.9751,6.4007
0.1090,200.0000,200.9735,6.4003
0.1100,200.0000,200.9714,6.3999
0.1110,200.0000,200.9691,6.4001
0.1120,200.0000,200.9675,6.4005
0.1130,200.0000,200.9660,6.4001
0.1140,200.0000,200.9639,6.3997
0.1150,200.0000,200.9616,6.3999
0.1160,200.0000,200.9600,6.4002
0.1170,200.0000,200.9585,6.3999
0.1180,200.0000,200.9564,6.3995
0.1190,200.0000,200.9542,6.3997
0.1200,200.0000,200.9527,6.3999
0.1210,200.0000,200.9512,6.3996
0.1220,200.0000,200.9490,6.3992
0.1230,200.0000,200.9469,6.3995
0.1240,200.0000,200.9454,6.3996
0.1250,200.0000,200.9439,6.3992
0.1260,200.0000,200.9416,6.3989
0.1270,200.0000,200.9396,6.3993
0.1280,200.0000,200.9381,6.3994
0.1290,200.0000,200.9366,6.3991
0.1300,200.0000,200.9343,6.3987
0.1310,200.0000,200.9324,6.3991
0.1320,200.0000,200.9309,6.3991
0.1330,200.0000,200.9293,6.3988
0.1340,200.0000,200.9270,6.3985
0.1350,200.0000,200.9252,6.3989
0.1360,200.0000,200.9237,6.3989
0.1370,200.0000,200.9222,6.3986
0.1380,200.0000,200.9199,6.3982
0.1390,200.0000,200.9181,6.3987
0.1400,200.0000,200.9165,6.3987
0.1410,200.0000,200.9150,6.3984
0.1420,200.0000,200.9128,6.3981
0.1430,200.0000,200.9110,6.3985
0.1440,200.0000,200.9095,6.3984
0.1450,200.0000,200.9080,6.3981
0.1460,200.0000,200.9057,6.3978
0.1470,200.0000,200.9039,6.3983
0.1480,200.0000,200.9024,6.3982
0.1490,200.0000,200.9009,6.3979
0.1500,200.0000,200.8987,6.3977
0.1510,200.0000,200.8970,6.3981
0.1520,200.0000,200.8955,6.3980
0.1530,200.0000,200.8940,6.3977
0.1540,200.0000,200.8917,6.3974
0.1550,200.0000,200.8900,6.3979
0.1560,200.0000,200.8885,6.3978
0.1570,200.0000,200.8870,6.3975
0.1580,200.0000,200.8849,6.3973
0.1590,200.0000,200.8833,6.3976
0.1600,200.0000,200.8817,6.3975
0.1610,200.0000,200.8802,6.3973
0.1620,200.0000,200.8780,6.3970
0.1630,200.0000,200.8763,6.3975
0.1640,200.0000,200.8748,6.3974
0.1650,200.0000,200.8733,6.3972
0.1660,200.0000,200.8717,6.3970
