t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.2792,10.7790
0.0390,200.0000,194.0159,7.7208
0.0400,200.0000,194.4480,5.9841
0.0410,200.0000,194.2571,5.5520
0.0420,200.0000,193.9743,5.7429
0.0430,200.0000,193.8101,6.0257
0.0440,200.0000,193.7672,6.1899
0.0450,200.0000,193.7836,6.2328
0.0460,200.0000,193.8097,6.2164
0.0470,200.0000,193.8253,6.1903
0.0480,200.0000,193.8295,6.1747
0.0490,200.0000,193.8281,6.1705
0.0500,200.0000,193.8258,6.1719
0.0510,200.0000,193.8243,6.1742
0.0520,200.0000,193.8239,6.1757
0.0530,200.0000,193.8239,6.1761
0.0540,200.0000,193.8239,6.1761
0.0550,200.0000,193.8239,6.1761
0.0560,200.0000,193.8239,6.1761
0.0570,200.0000,193.8239,6.1761
0.0580,200.0000,193.8239,6.1761
0.0590,200.0000,193.8239,6.1761
0.0600,200.0000,193.8239,6.1761
0.0610,200.0000,193.8239,6.1761
0.0620,200.0000,193.8239,6.1761
0.0630,200.0000,193.8239,6.1761
0.0640,200.0000,193.8239,6.1761
0.0650,200.0000,193.8239,6.1761
0.0660,200.0000,193.8239,6.1761
0.0670,200.0000,193.8239,6.1761
0.0680,200.0000,193.8239,6.1761
0.0690,200.0000,193.8239,6.1761
0.0700,200.0000,193.8239,6.1761
0.0710,200.0000,193.8239,6.1761
0.0720,200.0000,193.8239,6.1761
0.0730,200.0000,193.8239,6.1761
0.0740,200.0000,193.8239,6.1761
0.0750,200.0000,193.8239,6.1761
0.0760,200.0000,193.8239,6.1761
0.0770,200.0000,193.8239,6.1761
0.0780,200.0000,193.8239,6.1761
0.0790,200.0000,193.8239,6.1761
0.0800,200.0000,193.8239,6.1761
0.0810,200.0000,193.8239,6.1761
0.0820,200.0000,193.8239,6.1761
0.0830,200.0000,193.8239,6.1761
0.0840,200.0000,193.8239,6.1761
0.0850,200.0000,193.8239,6.1761
0.0860,200.0000,193.8239,6.1761
0.0870,200.0000,193.8239,6.1761
0.0880,200.0000,193.8239,6.1761
0.0890,200.0000,193.8239,6.1761
0.0900,200.0000,193.8239,6.1761
0.0910,200.0000,193.8239,6.1761
0.0920,200.0000,193.8239,6.1761
0.0930,200.0000,193.8239,6.1761
0.0940,200.0000,193.8239,6.1761
0.0950,200.0000,193.8239,6.1761
0.0960,200.0000,193.8239,6.1761
0.0970,200.0000,193.8239,6.1761
0.0980,200.0000,193.8239,6.1761
0.0990,200.0000,193.8239,6.1761
0.1000,200.0000,193.8239,6.1761
0.1010,200.0000,193.8239,6.1761
0.1020,200.0000,193.8239,6.1761
0.1030,200.0000,193.8239,6.1761
0.1040,200.0000,193.8239,6.1761
0.1050,200.0000,193.8239,6.1761
0.1060,200.0000,193.8239,6.1761
0.1070,200.0000,193.8239,6.1761
0.1080,200.0000,193.8239,6.1761
0.1090,200.0000,193.8239,6.1761
0.1100,200.0000,193.8239,6.1761
0.1110,200.0000,193.8239,6.1761
0.1120,200.0000,193.8239,6.1761
0.1130,200.0000,193.8239,6.1761
0.1140,200.0000,193.8239,6.1761
0.1150,200.0000,193.8239,6.1761
0.1160,200.0000,193.8239,6.1761
0.1170,200.0000,193.8239,6.1761
0.1180,200.0000,193.8239,6.1761
0.1190,200.0000,193.8239,6.1761
0.1200,200.0000,193.8239,6.1761
0.1210,200.0000,193.8239,6.1761
0.1220,200.0000,193.8239,6.1761
0.1230,200.0000,193.8239,6.1761
0.1240,200.0000,193.8239,6.1761
0.1250,200.0000,193.8239,6.1761
0.1260,200.0000,193.8239,6.1761
0.1270,200.0000,193.8239,6.1761
0.1280,200.0000,193.8239,6.1761
0.1290,200.0000,193.8239,6.1761
0.1300,200.0000,193.8239,6.1761
0.1310,200.0000,193.8239,6.1761
0.1320,200.0000,193.8239,6.1761
0.1330,200.0000,193.8239,6.1761
0.1340,200.0000,193.8239,6.1761
0.1350,200.0000,193.8239,6.1761
0.1360,200.0000,193.8239,6.1761
0.1370,200.0000,193.8239,6.1761
0.1380,200.0000,193.8239,6.1761
0.1390,200.0000,193.8239,6.1761
0.1400,200.0000,193.8239,6.1761
0.1410,200.0000,193.8239,6.1761
0.1420,200.0000,193.8239,6.1761
0.1430,200.0000,193.8239,6.1761
0.1440,200.0000,193.8239,6.1761
0.1450,200.0000,193.8239,6.1761
0.1460,200.0000,193.8239,6.1761
0.1470,200.0000,193.8239,6.1761
0.1480,200.0000,193.8239,6.1761
0.1490,200.0000,193.8239,6.1761
0.1500,200.0000,193.8239,6.1761
0.1510,200.0000,193.8239,6.1761
0.1520,200.0000,193.8239,6.1761
0.1530,200.0000,193.8239,6.1761
0.1540,200.0000,193.8239,6.1761
0.1550,200.0000,193.8239,6.1761
0.1560,200.0000,193.8239,6.1761
0.1570,200.0000,193.8239,6.1761
0.1580,200.0000,193.8239,6.1761
0.1590,200.0000,193.8239,6.1761
0.1600,200.0000,193.8239,6.1761
0.1610,200.0000,193.8239,6.1761
0.1620,200.0000,193.8239,6.1761
0.1630,200.0000,193.8239,6.1761
0.1640,200.0000,193.8239,6.1761
0.1650,200.0000,193.8239,6.1761
0.1660,200.0000,193.8239,6.1761
