case,kp,ki,kd,d_tau,rise_time_s,overshoot_pct,sse_rad_s,settle_time_s,u_peak_V,ripple_V,jitter_V
P_kp0.3,0.3000,0.0000,0.000000,0.00000,0.04000,0.000,19.2034,-1.00000,12.000,0.0000,0.0000
P_kp1,1.0000,0.0000,0.000000,0.00000,0.03200,0.000,6.1761,-1.00000,12.000,0.0000,0.0000
P_kp3,3.0000,0.0000,0.000000,0.00000,0.03200,0.000,2.1018,0.03900,12.000,0.0000,0.0000
P_kp8,8.0000,0.0000,0.000000,0.00000,0.03200,0.853,1.2065,0.44400,12.000,19.9346,9.2016
PI_ki0,1.0000,0.0000,0.000000,0.00000,0.03200,0.000,6.1761,-1.00000,12.000,0.0000,0.0000
PI_ki2,1.0000,2.0000,0.000000,0.00000,0.03200,0.866,-0.4788,0.03900,12.000,0.0018,0.0002
PI_ki10,1.0000,10.0000,0.000000,0.00000,0.03200,2.959,-0.0794,0.07400,12.000,0.0008,0.0001
PI_ki50,1.0000,50.0000,0.000000,0.00000,0.03200,2.886,-0.0000,0.04800,12.000,0.0000,0.0000
PID_kd0,1.0000,10.0000,0.000000,0.00000,0.03200,2.959,-0.0794,0.07400,12.000,0.0008,0.0001
PID_kd0005,1.0000,10.0000,0.000500,0.00000,0.03200,2.603,-0.0787,0.07500,12.000,0.0010,0.0002
PID_kd001,1.0000,10.0000,0.001000,0.00000,0.03200,2.550,-0.0782,0.07600,12.000,0.0016,0.0002
PID_kd002,1.0000,10.0000,0.002000,0.00000,0.03200,2.486,-0.0771,0.07900,12.000,0.0030,0.0004
windup_off,1.0000,50.0000,0.000000,0.00000,0.03200,44.040,-0.0000,0.13900,12.000,0.0000,0.0000
windup_on,1.0000,50.0000,0.000000,0.00000,0.03200,1.094,0.0000,0.03900,12.000,0.0001,0.0000
noise_nod,1.0000,0.0000,0.000000,0.00000,0.03200,0.000,6.1517,-1.00000,12.000,5.4804,1.6862
noise_d,1.0000,0.0000,0.001000,0.00000,0.03200,0.000,6.3228,-1.00000,12.000,12.8460,4.7271
noise_d_f2,1.0000,0.0000,0.001000,0.00200,0.03200,0.000,6.1577,-1.00000,12.000,7.4772,2.4994
noise_d_f10,1.0000,0.0000,0.001000,0.01000,0.03200,0.000,6.1563,-1.00000,12.000,5.8498,1.8812
