t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,190.3357,4.8203
0.0390,200.0000,190.6974,7.4010
0.0400,200.0000,192.7036,11.3676
0.0410,200.0000,192.1229,0.7381
0.0420,200.0000,191.6039,7.6676
0.0430,200.0000,193.4513,11.1325
0.0440,200.0000,193.4112,2.6225
0.0450,200.0000,194.1793,10.4445
0.0460,200.0000,193.8889,2.6923
0.0470,200.0000,193.3231,6.4398
0.0480,200.0000,193.1946,5.8401
0.0490,200.0000,192.5829,4.5015
0.0500,200.0000,193.6290,10.4699
0.0510,200.0000,193.2450,2.2536
0.0520,200.0000,192.9525,7.5207
0.0530,200.0000,194.9620,11.6847
0.0540,200.0000,194.8434,2.0932
0.0550,200.0000,194.6549,7.8987
0.0560,200.0000,194.0444,3.4898
0.0570,200.0000,194.0333,7.8455
0.0580,200.0000,195.0023,8.2599
0.0590,200.0000,193.5268,0.1985
0.0600,200.0000,194.1870,12.0000
0.0610,200.0000,195.4816,6.7555
0.0620,200.0000,195.0129,3.9913
0.0630,200.0000,192.8787,1.0565
0.0640,200.0000,193.1111,10.4555
0.0650,200.0000,194.1561,6.9421
0.0660,200.0000,194.2809,5.7446
0.0670,200.0000,194.9068,8.2998
0.0680,200.0000,194.3872,3.2398
0.0690,200.0000,194.2186,7.4782
0.0700,200.0000,194.4170,6.1673
0.0710,200.0000,194.9980,7.9117
0.0720,200.0000,193.1336,-0.6517
0.0730,200.0000,192.3529,8.1768
0.0740,200.0000,193.9142,10.1214
0.0750,200.0000,194.0154,3.7383
0.0760,200.0000,194.8360,9.9764
0.0770,200.0000,193.1722,-1.2545
0.0780,200.0000,193.5578,12.0000
0.0790,200.0000,194.5486,5.9028
0.0800,200.0000,193.2125,1.8672
0.0810,200.0000,192.6754,7.3572
0.0820,200.0000,192.8026,6.0856
0.0830,200.0000,194.3716,10.9342
0.0840,200.0000,193.7828,1.2033
0.0850,200.0000,194.4644,11.1825
0.0860,200.0000,193.1272,-0.8672
0.0870,200.0000,193.6242,12.0000
0.0880,200.0000,194.8942,6.7177
0.0890,200.0000,192.6410,-1.4790
0.0900,200.0000,192.3244,10.1772
0.0910,200.0000,194.9114,12.0000
0.0920,200.0000,195.1308,2.7268
0.0930,200.0000,193.3329,2.5016
0.0940,200.0000,194.2811,11.7588
0.0950,200.0000,193.4080,0.1293
0.0960,200.0000,193.3504,9.5908
0.0970,200.0000,193.1000,3.5639
0.0980,200.0000,193.4141,8.6131
0.0990,200.0000,194.7980,8.9579
0.1000,200.0000,193.5111,0.2244
0.1010,200.0000,194.2007,12.0000
0.1020,200.0000,193.5407,0.7517
0.1030,200.0000,193.7389,9.9604
0.1040,200.0000,195.0915,8.1964
0.1050,200.0000,195.0009,4.3306
0.1060,200.0000,194.0545,4.3636
0.1070,200.0000,194.4465,8.7444
0.1080,200.0000,193.6443,2.2039
0.1090,200.0000,192.9206,6.4117
0.1100,200.0000,194.2617,10.4045
0.1110,200.0000,195.0665,5.8473
0.1120,200.0000,193.5974,1.5890
0.1130,200.0000,193.1196,7.7612
0.1140,200.0000,192.8713,4.7141
0.1150,200.0000,194.2298,11.1824
0.1160,200.0000,195.2901,6.2023
0.1170,200.0000,193.9558,1.7200
0.1180,200.0000,192.1913,3.7090
0.1190,200.0000,193.4534,12.0000
0.1200,200.0000,194.5866,5.9850
0.1210,200.0000,195.0580,7.3100
0.1220,200.0000,194.7290,4.4272
0.1230,200.0000,193.3082,2.9388
0.1240,200.0000,194.2124,11.2361
0.1250,200.0000,194.8175,4.9581
0.1260,200.0000,194.1495,4.5924
0.1270,200.0000,194.1049,7.1759
0.1280,200.0000,193.2837,3.1495
0.1290,200.0000,192.3971,5.3918
0.1300,200.0000,193.1191,9.0959
0.1310,200.0000,193.9634,6.8656
0.1320,200.0000,193.6586,4.5391
0.1330,200.0000,193.2560,5.9381
0.1340,200.0000,192.9993,5.6492
0.1350,200.0000,192.5161,5.0402
0.1360,200.0000,193.6326,10.3405
0.1370,200.0000,194.4753,6.0569
0.1380,200.0000,195.0471,7.6892
0.1390,200.0000,194.3591,3.0815
0.1400,200.0000,193.8039,6.4442
0.1410,200.0000,194.7647,9.1966
0.1420,200.0000,193.9536,1.7215
0.1430,200.0000,192.3858,4.1027
0.1440,200.0000,192.6146,8.5506
0.1450,200.0000,192.6071,4.7200
0.1460,200.0000,192.2547,5.8243
0.1470,200.0000,192.2207,6.3246
0.1480,200.0000,192.9480,8.2603
0.1490,200.0000,193.6870,6.9831
0.1500,200.0000,193.3878,4.5215
0.1510,200.0000,192.2473,3.6694
0.1520,200.0000,193.5826,12.0000
0.1530,200.0000,195.0802,7.0791
0.1540,200.0000,194.3775,2.9982
0.1550,200.0000,193.2406,4.7125
0.1560,200.0000,193.1573,7.1346
0.1570,200.0000,194.7644,10.5858
0.1580,200.0000,194.1506,1.3188
0.1590,200.0000,193.2079,6.1680
0.1600,200.0000,193.1542,6.3604
0.1610,200.0000,192.6498,4.5181
0.1620,200.0000,192.5412,6.8808
0.1630,200.0000,194.1218,10.6215
0.1640,200.0000,195.2371,6.5799
0.1650,200.0000,193.4592,0.1315
0.1660,200.0000,192.0822,5.9072
