t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.0676,11.5299
0.0380,200.0000,190.5324,6.2010
0.0390,200.0000,190.2895,4.6720
0.0400,200.0000,190.3481,7.0903
0.0410,200.0000,190.0019,4.4269
0.0420,200.0000,189.5570,5.7058
0.0430,200.0000,190.2099,8.3991
0.0440,200.0000,190.8625,6.5390
0.0450,200.0000,191.8417,8.5763
0.0460,200.0000,192.2326,5.5908
0.0470,200.0000,192.0229,5.6147
0.0480,200.0000,191.6607,5.3633
0.0490,200.0000,191.1324,5.0327
0.0500,200.0000,191.4927,7.9756
0.0510,200.0000,191.7715,5.8010
0.0520,200.0000,191.8984,6.5553
0.0530,200.0000,192.9839,9.1542
0.0540,200.0000,193.7636,6.4843
0.0550,200.0000,194.1518,6.8858
0.0560,200.0000,193.8011,4.5786
0.0570,200.0000,193.3796,5.8840
0.0580,200.0000,193.6738,7.3812
0.0590,200.0000,193.3035,4.2653
0.0600,200.0000,193.5022,7.9384
0.0610,200.0000,194.3423,7.7050
0.0620,200.0000,194.7675,6.3441
0.0630,200.0000,193.7582,2.8673
0.0640,200.0000,192.8455,5.5623
0.0650,200.0000,192.8593,6.8648
0.0660,200.0000,193.3880,7.3718
0.0670,200.0000,194.2774,8.0248
0.0680,200.0000,194.5004,5.5290
0.0690,200.0000,194.3320,5.9527
0.0700,200.0000,194.1616,5.8655
0.0710,200.0000,194.4097,7.1884
0.0720,200.0000,193.6867,3.3420
0.0730,200.0000,192.6612,4.8429
0.0740,200.0000,192.7601,7.5498
0.0750,200.0000,193.2598,6.8744
0.0760,200.0000,194.2847,8.7139
0.0770,200.0000,193.9822,3.4922
0.0780,200.0000,193.8512,7.3510
0.0790,200.0000,194.2019,6.6699
0.0800,200.0000,193.7985,4.5509
0.0810,200.0000,193.1221,5.1384
0.0820,200.0000,192.6111,5.4044
0.0830,200.0000,193.2866,8.8072
0.0840,200.0000,193.7261,5.8072
0.0850,200.0000,194.3665,8.1582
0.0860,200.0000,193.8697,3.3536
0.0870,200.0000,193.9406,8.1167
0.0880,200.0000,194.7094,7.4626
0.0890,200.0000,193.9794,2.9799
0.0900,200.0000,192.9990,5.1936
0.0910,200.0000,193.6512,9.0557
0.0920,200.0000,194.6589,7.4425
0.0930,200.0000,194.4862,4.6019
0.0940,200.0000,194.4147,6.9072
0.0950,200.0000,193.7188,3.7050
0.0960,200.0000,193.3133,6.5383
0.0970,200.0000,192.9921,5.1316
0.0980,200.0000,193.0748,7.0800
0.0990,200.0000,193.9971,8.4454
0.1000,200.0000,194.0419,4.7289
0.1010,200.0000,194.4123,8.0851
0.1020,200.0000,194.1456,4.2082
0.1030,200.0000,193.9348,6.7136
0.1040,200.0000,194.4822,7.6531
0.1050,200.0000,194.9613,6.6611
0.1060,200.0000,194.7484,5.1260
0.1070,200.0000,194.5517,6.2695
0.1080,200.0000,193.9230,4.3118
0.1090,200.0000,193.1713,5.1327
0.1100,200.0000,193.4454,7.8465
0.1110,200.0000,194.3271,7.8493
0.1120,200.0000,194.2980,4.8564
0.1130,200.0000,193.7411,5.2153
0.1140,200.0000,192.9892,4.6066
0.1150,200.0000,193.3359,8.3446
0.1160,200.0000,194.4645,8.3029
0.1170,200.0000,194.6584,5.2037
0.1180,200.0000,193.5045,3.1262
0.1190,200.0000,193.0381,6.8360
0.1200,200.0000,193.5614,7.5713
0.1210,200.0000,194.5971,8.3761
0.1220,200.0000,195.1301,6.2472
0.1230,200.0000,194.3991,3.7476
0.1240,200.0000,194.0582,6.7607
0.1250,200.0000,194.2394,6.5629
0.1260,200.0000,194.2827,6.0476
0.1270,200.0000,194.2646,6.1947
0.1280,200.0000,193.6894,4.4307
0.1290,200.0000,192.7732,4.5312
0.1300,200.0000,192.5764,6.7734
0.1310,200.0000,193.1575,7.6521
0.1320,200.0000,193.6418,6.5991
0.1330,200.0000,193.6708,5.8341
0.1340,200.0000,193.3176,5.2580
0.1350,200.0000,192.7295,4.9839
0.1360,200.0000,192.9920,7.8047
0.1370,200.0000,193.8348,7.7351
0.1380,200.0000,194.8527,8.1195
0.1390,200.0000,195.0264,5.3039
0.1400,200.0000,194.5089,5.0492
0.1410,200.0000,194.4547,6.8576
0.1420,200.0000,194.1098,4.8025
0.1430,200.0000,193.1173,4.0252
0.1440,200.0000,192.4657,5.7000
0.1450,200.0000,192.1692,5.7163
0.1460,200.0000,192.0719,6.1625
0.1470,200.0000,192.0994,6.2199
0.1480,200.0000,192.5296,7.3754
0.1490,200.0000,193.2836,7.6046
0.1500,200.0000,193.6471,6.1919
0.1510,200.0000,193.0923,4.3120
0.1520,200.0000,193.5992,8.9214
0.1530,200.0000,194.8997,8.4677
0.1540,200.0000,195.3236,5.7724
0.1550,200.0000,194.5862,4.0370
0.1560,200.0000,193.6152,4.6845
0.1570,200.0000,193.8507,8.0796
0.1580,200.0000,194.0654,5.7136
0.1590,200.0000,193.7992,5.5353
0.1600,200.0000,193.3563,5.2682
0.1610,200.0000,192.7394,4.9274
0.1620,200.0000,192.3870,5.9617
0.1630,200.0000,193.1562,8.7196
0.1640,200.0000,194.5137,8.6253
0.1650,200.0000,194.5137,4.3461
0.1660,200.0000,193.3321,3.5744
