t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.0888,10.1952
0.0390,200.0000,193.4805,7.0450
0.0400,200.0000,194.1866,7.2997
0.0410,200.0000,193.7372,3.9274
0.0420,200.0000,192.8763,4.9247
0.0430,200.0000,193.0118,7.5634
0.0440,200.0000,193.2844,6.1686
0.0450,200.0000,193.9920,8.2136
0.0460,200.0000,194.2448,5.5769
0.0470,200.0000,193.9642,5.5589
0.0480,200.0000,193.5105,5.2362
0.0490,200.0000,192.8664,4.8735
0.0500,200.0000,193.0157,7.5461
0.0510,200.0000,193.1195,5.6550
0.0520,200.0000,193.1279,6.4066
0.0530,200.0000,194.0392,8.8075
0.0540,200.0000,194.7105,6.4609
0.0550,200.0000,195.0542,6.8512
0.0560,200.0000,194.7183,4.7048
0.0570,200.0000,194.2791,5.8009
0.0580,200.0000,194.4572,7.1215
0.0590,200.0000,194.0342,4.3280
0.0600,200.0000,194.1402,7.6772
0.0610,200.0000,194.8507,7.5169
0.0620,200.0000,195.2233,6.3615
0.0630,200.0000,194.3061,3.1832
0.0640,200.0000,193.4309,5.4972
0.0650,200.0000,193.3468,6.6135
0.0660,200.0000,193.7378,7.1482
0.0670,200.0000,194.5114,7.8625
0.0680,200.0000,194.7346,5.6749
0.0690,200.0000,194.6138,6.0314
0.0700,200.0000,194.4630,5.8778
0.0710,200.0000,194.6647,7.0464
0.0720,200.0000,193.9756,3.5537
0.0730,200.0000,192.9917,4.8566
0.0740,200.0000,193.0021,7.2712
0.0750,200.0000,193.3923,6.7362
0.0760,200.0000,194.3143,8.5233
0.0770,200.0000,194.0793,3.8445
0.0780,200.0000,193.9952,7.2823
0.0790,200.0000,194.3176,6.6087
0.0800,200.0000,193.9426,4.6876
0.0810,200.0000,193.3041,5.1768
0.0820,200.0000,192.7900,5.3675
0.0830,200.0000,193.3483,8.4778
0.0840,200.0000,193.7300,5.8576
0.0850,200.0000,194.3400,8.0612
0.0860,200.0000,193.9339,3.6950
0.0870,200.0000,194.0195,7.9442
0.0880,200.0000,194.7183,7.3390
0.0890,200.0000,194.0629,3.3035
0.0900,200.0000,193.1599,5.2305
0.0910,200.0000,193.7046,8.6833
0.0920,200.0000,194.5952,7.3297
0.0930,200.0000,194.4688,4.8478
0.0940,200.0000,194.4443,6.8996
0.0950,200.0000,193.8227,3.9193
0.0960,200.0000,193.4249,6.4219
0.0970,200.0000,193.0805,5.1257
0.0980,200.0000,193.1076,6.9261
0.0990,200.0000,193.9276,8.2389
0.1000,200.0000,193.9956,4.9488
0.1010,200.0000,194.3773,7.9896
0.1020,200.0000,194.1701,4.4364
0.1030,200.0000,193.9884,6.6572
0.1040,200.0000,194.4763,7.4920
0.1050,200.0000,194.9161,6.6513
0.1060,200.0000,194.7489,5.2846
0.1070,200.0000,194.5887,6.2776
0.1080,200.0000,194.0094,4.4458
0.1090,200.0000,193.2870,5.1348
0.1100,200.0000,193.4784,7.5857
0.1110,200.0000,194.2487,7.6831
0.1120,200.0000,194.2442,5.0622
0.1130,200.0000,193.7735,5.3560
0.1140,200.0000,193.0889,4.7046
0.1150,200.0000,193.3649,8.0528
0.1160,200.0000,194.3667,8.1012
0.1170,200.0000,194.5747,5.4016
0.1180,200.0000,193.5725,3.4747
0.1190,200.0000,193.1423,6.7016
0.1200,200.0000,193.5712,7.3450
0.1210,200.0000,194.4930,8.1874
0.1220,200.0000,195.0179,6.3647
0.1230,200.0000,194.4168,4.0803
0.1240,200.0000,194.1293,6.6940
0.1250,200.0000,194.2722,6.4634
0.1260,200.0000,194.2873,6.0318
0.1270,200.0000,194.2623,6.1934
0.1280,200.0000,193.7357,4.5830
0.1290,200.0000,192.8788,4.6141
0.1300,200.0000,192.6458,6.5992
0.1310,200.0000,193.1235,7.4467
0.1320,200.0000,193.5577,6.5962
0.1330,200.0000,193.6182,5.9481
0.1340,200.0000,193.3317,5.3860
0.1350,200.0000,192.8000,5.0618
0.1360,200.0000,193.0102,7.5834
0.1370,200.0000,193.7579,7.5845
0.1380,200.0000,194.7132,8.0430
0.1390,200.0000,194.9438,5.5374
0.1400,200.0000,194.5380,5.2393
0.1410,200.0000,194.5049,6.7762
0.1420,200.0000,194.1714,4.8757
0.1430,200.0000,193.2301,4.1415
0.1440,200.0000,192.5748,5.6107
0.1450,200.0000,192.2313,5.6274
0.1460,200.0000,192.0849,6.0817
0.1470,200.0000,192.0801,6.1850
0.1480,200.0000,192.4687,7.2783
0.1490,200.0000,193.1799,7.5398
0.1500,200.0000,193.5627,6.2980
0.1510,200.0000,193.1097,4.5553
0.1520,200.0000,193.5890,8.6655
0.1530,200.0000,194.7853,8.2971
0.1540,200.0000,195.2239,5.9457
0.1550,200.0000,194.6178,4.3352
0.1560,200.0000,193.7473,4.7810
0.1570,200.0000,193.9137,7.7820
0.1580,200.0000,194.0603,5.6961
0.1590,200.0000,193.8024,5.5970
0.1600,200.0000,193.3944,5.3391
0.1610,200.0000,192.8128,4.9856
0.1620,200.0000,192.4508,5.8903
0.1630,200.0000,193.1100,8.4279
0.1640,200.0000,194.3521,8.4704
0.1650,200.0000,194.4213,4.6800
0.1660,200.0000,193.4116,3.8890
