t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.6774,12.0000
0.0390,200.0000,196.0702,12.0000
0.0400,200.0000,199.4003,12.0000
0.0410,200.0000,202.6691,12.0000
0.0420,200.0000,205.8775,12.0000
0.0430,200.0000,209.0267,12.0000
0.0440,200.0000,212.1179,12.0000
0.0450,200.0000,215.1520,12.0000
0.0460,200.0000,218.1302,12.0000
0.0470,200.0000,221.0535,12.0000
0.0480,200.0000,223.9228,12.0000
0.0490,200.0000,226.7392,12.0000
0.0500,200.0000,229.5037,12.0000
0.0510,200.0000,232.2172,12.0000
0.0520,200.0000,234.8806,12.0000
0.0530,200.0000,237.4949,12.0000
0.0540,200.0000,240.0610,12.0000
0.0550,200.0000,242.5798,12.0000
0.0560,200.0000,245.0521,12.0000
0.0570,200.0000,247.4788,12.0000
0.0580,200.0000,249.8607,12.0000
0.0590,200.0000,252.1987,12.0000
0.0600,200.0000,254.4936,12.0000
0.0610,200.0000,256.7461,12.0000
0.0620,200.0000,258.9571,12.0000
0.0630,200.0000,261.1273,12.0000
0.0640,200.0000,263.2575,12.0000
0.0650,200.0000,265.3484,12.0000
0.0660,200.0000,267.4007,12.0000
0.0670,200.0000,269.4151,12.0000
0.0680,200.0000,271.3925,12.0000
0.0690,200.0000,273.3333,12.0000
0.0700,200.0000,275.2384,12.0000
0.0710,200.0000,277.1083,12.0000
0.0720,200.0000,278.9438,12.0000
0.0730,200.0000,280.7453,12.0000
0.0740,200.0000,282.5137,12.0000
0.0750,200.0000,284.2495,12.0000
0.0760,200.0000,285.9532,12.0000
0.0770,200.0000,287.6255,12.0000
0.0780,200.0000,288.0792,8.3579
0.0790,200.0000,286.1414,3.5003
0.0800,200.0000,282.2958,1.1310
0.0810,200.0000,277.7589,0.8618
0.0820,200.0000,273.3690,1.5108
0.0830,200.0000,269.4179,2.2322
0.0840,200.0000,265.8708,2.7124
0.0850,200.0000,262.6002,2.9660
0.0860,200.0000,259.5084,3.1066
0.0870,200.0000,256.5519,3.2230
0.0880,200.0000,253.7230,3.3518
0.0890,200.0000,251.0251,3.4946
0.0900,200.0000,248.4605,3.6412
0.0910,200.0000,246.0262,3.7829
0.0920,200.0000,243.7161,3.9159
0.0930,200.0000,241.5231,4.0401
0.0940,200.0000,239.4403,4.1570
0.0950,200.0000,237.4619,4.2677
0.0960,200.0000,235.5826,4.3731
0.0970,200.0000,233.7974,4.4732
0.0980,200.0000,232.1018,4.5685
0.0990,200.0000,230.4912,4.6591
0.1000,200.0000,228.9615,4.7451
0.1010,200.0000,227.5085,4.8268
0.1020,200.0000,226.1285,4.9043
0.1030,200.0000,224.8177,4.9779
0.1040,200.0000,223.5726,5.0478
0.1050,200.0000,222.3899,5.1143
0.1060,200.0000,221.2666,5.1774
0.1070,200.0000,220.1997,5.2374
0.1080,200.0000,219.1863,5.2944
0.1090,200.0000,218.2238,5.3484
0.1100,200.0000,217.3094,5.3997
0.1110,200.0000,216.4410,5.4486
0.1120,200.0000,215.6162,5.4950
0.1130,200.0000,214.8327,5.5390
0.1140,200.0000,214.0886,5.5808
0.1150,200.0000,213.3818,5.6205
0.1160,200.0000,212.7104,5.6582
0.1170,200.0000,212.0728,5.6941
0.1180,200.0000,211.4671,5.7281
0.1190,200.0000,210.8918,5.7604
0.1200,200.0000,210.3454,5.7911
0.1210,200.0000,209.8263,5.8203
0.1220,200.0000,209.3334,5.8480
0.1230,200.0000,208.8651,5.8743
0.1240,200.0000,208.4203,5.8993
0.1250,200.0000,207.9978,5.9231
0.1260,200.0000,207.5966,5.9457
0.1270,200.0000,207.2156,5.9670
0.1280,200.0000,206.8536,5.9874
0.1290,200.0000,206.5097,6.0067
0.1300,200.0000,206.1831,6.0250
0.1310,200.0000,205.8729,6.0425
0.1320,200.0000,205.5783,6.0590
0.1330,200.0000,205.2984,6.0748
0.1340,200.0000,205.0326,6.0897
0.1350,200.0000,204.7802,6.1038
0.1360,200.0000,204.5403,6.1173
0.1370,200.0000,204.3125,6.1301
0.1380,200.0000,204.0962,6.1423
0.1390,200.0000,203.8907,6.1539
0.1400,200.0000,203.6954,6.1648
0.1410,200.0000,203.5101,6.1753
0.1420,200.0000,203.3340,6.1851
0.1430,200.0000,203.1667,6.1945
0.1440,200.0000,203.0079,6.2034
0.1450,200.0000,202.8570,6.2119
0.1460,200.0000,202.7136,6.2200
0.1470,200.0000,202.5775,6.2276
0.1480,200.0000,202.4482,6.2349
0.1490,200.0000,202.3253,6.2418
0.1500,200.0000,202.2086,6.2484
0.1510,200.0000,202.0978,6.2546
0.1520,200.0000,201.9926,6.2605
0.1530,200.0000,201.8927,6.2661
0.1540,200.0000,201.7977,6.2715
0.1550,200.0000,201.7075,6.2765
0.1560,200.0000,201.6218,6.2814
0.1570,200.0000,201.5405,6.2859
0.1580,200.0000,201.4632,6.2903
0.1590,200.0000,201.3898,6.2944
0.1600,200.0000,201.3201,6.2983
0.1610,200.0000,201.2538,6.3020
0.1620,200.0000,201.1909,6.3056
0.1630,200.0000,201.1312,6.3089
0.1640,200.0000,201.0744,6.3121
0.1650,200.0000,201.0205,6.3152
0.1660,200.0000,200.9693,6.3180
